variableId,servicePointId,readingType,deviceId,meteringType,readingUtcLocalTime,readingDateSource,readingLocalTime,dstStatus,channel,unitOfMeasure,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,intervalSize,logNumber,version,readingsValue,primarySource,readingsSource,owner,guidFile,estatus,registersNumber,eventsCode,agentId,agentDescription,multiplier,deviceMaster,deviceDescription,deviceStatus,serial,accountNumber,servicePointTimeZone,connectionType,relationEndDate,deviceType,brand,model,result_rD,relationStartDate,result_sPV,toStock,lastReadDate
Magnitude10,RegTest-sdp_id-rex-01,EVENTS,2,MAIN,2011-05-05 17:42:20,2011-05-05 12:42:20,2011-05-05 12:42:20,,,70,,,,,,,-84,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':''},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 14:30:00,2011-03-25 09:30:00,2011-03-25 09:30:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 14:45:00,2011-03-25 09:45:00,2011-03-25 09:45:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 15:00:00,2011-03-25 10:00:00,2011-03-25 10:00:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 15:15:00,2011-03-25 10:15:00,2011-03-25 10:15:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 15:30:00,2011-03-25 10:30:00,2011-03-25 10:30:00,,1,74,,,,15,1,Original,2.31,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 15:45:00,2011-03-25 10:45:00,2011-03-25 10:45:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 16:00:00,2011-03-25 11:00:00,2011-03-25 11:00:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 16:15:00,2011-03-25 11:15:00,2011-03-25 11:15:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
kWh Delivered,RegTest-sdp_id-rex-01,LOAD PROFILE READING,2,MAIN,2011-03-25 16:30:00,2011-03-25 11:30:00,2011-03-25 11:30:00,,1,74,,,,15,1,Original,2.3,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'0.01'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,,Electric meter,Elster,REX,false,2011-03-15 22:44:23,false,false,
