servicePointId,readingType,variableId,deviceId,meteringType,readingUtcLocalTime,readingDateSource,readingLocalTime,dstStatus,channel,unitOfMeasure,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,intervalSize,logNumber,version,readingsValue,primarySource,readingsSource,owner,guidFile,estatus,registersNumber,eventsCode,agentId,agentDescription,multiplier,deviceMaster,deviceDescription,deviceStatus,serial,accountNumber,servicePointTimeZone,connectionType,relationStartDate,relationEndDate,deviceType,brand,model
RegTest-sdp_id-coll-changed,REGISTERS,kW Delivered Total,1,MAIN,,2011-05-16 06:32:37,2011-05-16 06:32:37,,,96,,,,,,,92.176,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'1'},1,collector reserved for regression test-changed,ENABLE,12580743,RegTest12345-changed,11,TCP/Ethernet,2011-03-15 22:42:42,,Electric meter,Elster,A3 Collector
RegTest-sdp_id-coll-changed,REGISTERS,kW Delivered TierB,1,MAIN,,2015-05-16 06:32:37,2015-05-16 06:32:37,,,96,,,,,,,0,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'1'},1,collector reserved for regression test-changed,ENABLE,12580743,RegTest12345-changed,11,TCP/Ethernet,2011-03-15 22:42:42,,Electric meter,Elster,A3 Collector
RegTest-sdp_id-rex-01,REGISTERS,kW Delivered Total,2,MAIN,,2011-05-16 06:32:37,2011-05-16 06:32:37,,,96,,,,,,,92.176,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'1'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
RegTest-sdp_id-rex-01,REGISTERS,kW Delivered TierB,2,MAIN,,2011-05-16 06:40:00,2011-05-16 06:40:00,,,96,,,,,,,0,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'1'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
RegTest-sdp_id-rex-01,REGISTERS,kW Delivered TierC,2,MAIN,,2011-05-16 06:32:37,2011-05-16 06:32:37,,,96,,,,,,,92.176,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'1'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
RegTest-sdp_id-rex-01,REGISTERS,Demand Reset Count,2,MAIN,,2011-05-16 06:32:00,2011-05-16 06:32:00,,,99,,,,,,,14,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':''},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
RegTest-sdp_id-rex-01,REGISTERS,Demand Reset Count,2,MAIN,,2011-05-16 06:32:00,2011-05-16 06:32:00,,,99,,,,,,,16,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':''},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
RegTest-sdp_id-rex-01,REGISTERS,Demand Reset Count,2,MAIN,,2011-05-16 06:40:00,2011-05-16 06:40:00,,,99,,,,,,,20,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':''},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
RegTest-sdp_id-rex-01,REGISTERS,kWh Delivered TierC,2,MAIN,,2011-05-16 06:32:00,2011-05-16 06:32:00,,,74,,,,,,,144208,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'1'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
RegTest-sdp_id-rex-01,REGISTERS,kWh Delivered TierA,2,MAIN,,2011-05-16 06:32:00,2011-05-16 06:32:00,,,74,,,,,,,0,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'1'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
RegTest-sdp_id-rex-01,REGISTERS,kWh Delivered TierB,2,MAIN,,2011-05-16 06:32:00,2011-05-16 06:32:00,,,74,,,,,,,0,Remoto,AMRDEF,PRIMEREAD,amrdef-test,Activo,,,,,'MultiplierValues':{'ke':'1'},1,rex meter reserved for Regression test,ENABLE,11118188,RegTest12345,11,_MediaType,2011-03-15 22:44:23,,Electric meter,Elster,REX
